Gene;start;end;strand;gene_name;operon;COG;accession
LMB90_RS09930;35878;36417;#ERROR!;LMB90_RS09930;Op873;Energy Production & Conversion;NZ_JAJGVJ010000069.1
LMB90_RS09945;37682;37867;-;LMB90_RS09945;Op908;Energy Production & Conversion;NZ_JAJGVJ010000069.1
LMB90_RS09955;38439;39689;#ERROR!;LMB90_RS09955;Op925;Energy Production & Conversion;NZ_JAJGVJ010000069.1
LMB90_RS09970;41446;41892;-;LMB90_RS09970;Op978;Energy Production & Conversion;NZ_JAJGVJ010000069.1
LMB90_RS10020;49948;50310;-;LMB90_RS10020;Op1125;Energy Production & Conversion;NZ_JAJGVJ010000069.1
LMB90_RS10070;56681;57802;-;LMB90_RS10070;Op1226;Energy Production & Conversion;NZ_JAJGVJ010000069.1
LMB90_RS00295;8119;8490;#ERROR!;ftsL;Op241;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000026.1
LMB90_RS00320;14170;15018;#ERROR!;LMB90_RS00320;Op407;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000026.1
LMB90_RS00325;15139;16512;#ERROR!;ftsA;Op430;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000026.1
LMB90_RS00330;16530;17777;#ERROR!;ftsZ;Op469;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000026.1
LMB90_RS00335;17848;18264;#ERROR!;sepF;Op496;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000026.1
LMB90_RS00350;19373;20113;#ERROR!;LMB90_RS00350;Op532;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000026.1
LMB90_RS00900;96200;109177;#ERROR!;LMB90_RS00900;Op1721;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000030.1
LMB90_RS00985;126521;126877;#ERROR!;LMB90_RS00985;Op1902;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000030.1
LMB90_RS01730;21218;21595;-;LMB90_RS01730;Op569;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000045.1
LMB90_RS01880;48775;49137;-;gpsB;Op1103;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000045.1
LMB90_RS03630;78079;78972;#ERROR!;LMB90_RS03630;Op1537;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000051.1
LMB90_RS03640;79335;80126;#ERROR!;LMB90_RS03640;Op1555;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000051.1
LMB90_RS03645;80089;80694;#ERROR!;scpB;Op1562;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000051.1
LMB90_RS06050;51056;52057;-;LMB90_RS06050;Op1139;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000059.1
LMB90_RS06105;67611;69323;-;ezrA;Op1389;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000059.1
LMB90_RS06240;98310;99503;-;LMB90_RS06240;Op1739;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000059.1
LMB90_RS06255;100043;101035;-;LMB90_RS06255;Op1756;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000059.1
LMB90_RS06400;27201;28424;#ERROR!;LMB90_RS06400;Op692;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000060.1
LMB90_RS06470;40801;42111;#ERROR!;tig;Op963;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000060.1
LMB90_RS06480;43557;44147;#ERROR!;yihA;Op1018;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000060.1
LMB90_RS06890;7712;8329;#ERROR!;LMB90_RS06890;Op230;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000061.1
LMB90_RS07150;47299;48519;#ERROR!;LMB90_RS07150;Op1082;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000062.1
LMB90_RS07615;66842;67039;#ERROR!;LMB90_RS07615;Op1377;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000063.1
LMB90_RS07945;44575;44916;#ERROR!;LMB90_RS07945;Op1035;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000064.1
LMB90_RS08205;14791;15633;#ERROR!;LMB90_RS08205;Op423;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000065.1
LMB90_RS08400;60683;61519;#ERROR!;LMB90_RS08400;Op1285;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000065.1
LMB90_RS09265;21113;22663;#ERROR!;LMB90_RS09265;Op567;Cell Cycle Control, Cell Division, Chromosome Partitioning;NZ_JAJGVJ010000067.1
LMB90_RS00375;24365;25060;#ERROR!;LMB90_RS00375;Op640;Amino Acid Transport & Conversion;NZ_JAJGVJ010000026.1
LMB90_RS00380;25080;26234;#ERROR!;LMB90_RS00380;Op655;Amino Acid Transport & Conversion;NZ_JAJGVJ010000026.1
LMB90_RS00445;1855;3177;#ERROR!;LMB90_RS00445;Op74;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00585;29711;30481;#ERROR!;LMB90_RS00585;Op742;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00605;33495;34640;-;LMB90_RS00605;Op828;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00645;41296;42492;#ERROR!;LMB90_RS00645;Op974;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00660;43934;45406;#ERROR!;LMB90_RS00660;Op1023;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00665;45369;46730;#ERROR!;LMB90_RS00665;Op1048;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00905;109492;110406;#ERROR!;LMB90_RS00905;Op1817;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00940;115589;116716;#ERROR!;alr;Op1858;Amino Acid Transport & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS01270;14528;15418;#ERROR!;LMB90_RS01270;Op418;Amino Acid Transport & Conversion;NZ_JAJGVJ010000039.1
LMB90_RS01515;19099;20949;#ERROR!;tdc;Op526;Amino Acid Transport & Conversion;NZ_JAJGVJ010000044.1
LMB90_RS01520;21040;22446;#ERROR!;tyrP;Op564;Amino Acid Transport & Conversion;NZ_JAJGVJ010000044.1
LMB90_RS01535;25502;26662;#ERROR!;LMB90_RS01535;Op663;Amino Acid Transport & Conversion;NZ_JAJGVJ010000044.1
LMB90_RS01565;31783;32838;#ERROR!;LMB90_RS01565;Op788;Amino Acid Transport & Conversion;NZ_JAJGVJ010000044.1
LMB90_RS01695;11825;13216;-;LMB90_RS01695;Op344;Amino Acid Transport & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS01735;21703;22095;#ERROR!;LMB90_RS01735;Op578;Amino Acid Transport & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS01900;52869;53786;-;LMB90_RS01900;Op1169;Amino Acid Transport & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS02030;80284;81522;-;LMB90_RS02030;Op1563;Amino Acid Transport & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS02140;103010;103702;-;LMB90_RS02140;Op1778;Amino Acid Transport & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS02235;5578;6780;#ERROR!;LMB90_RS02235;Op172;Amino Acid Transport & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02340;25998;26774;-;LMB90_RS02340;Op673;Amino Acid Transport & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02345;26776;27588;-;LMB90_RS02345;Op687;Amino Acid Transport & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02400;39444;40631;-;LMB90_RS02400;Op941;Amino Acid Transport & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02630;17937;19616;-;alsS;Op499;Amino Acid Transport & Conversion;NZ_JAJGVJ010000047.1
LMB90_RS02730;1733;3109;#ERROR!;LMB90_RS02730;Op65;Amino Acid Transport & Conversion;NZ_JAJGVJ010000049.1
LMB90_RS02810;14536;15519;#ERROR!;LMB90_RS02810;Op419;Amino Acid Transport & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS02875;27954;28784;-;LMB90_RS02875;Op704;Amino Acid Transport & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS02880;28797;29531;-;LMB90_RS02880;Op725;Amino Acid Transport & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS02935;37014;38489;#ERROR!;LMB90_RS02935;Op895;Amino Acid Transport & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS03440;35828;37243;#ERROR!;LMB90_RS03440;Op871;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03500;48534;49262;-;LMB90_RS03500;Op1101;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03525;53025;54257;#ERROR!;LMB90_RS03525;Op1174;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03530;54247;55632;#ERROR!;argH;Op1188;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03590;67660;68844;#ERROR!;LMB90_RS03590;Op1391;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03605;70485;71735;#ERROR!;pepT;Op1429;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03730;97561;98487;#ERROR!;LMB90_RS03730;Op1733;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03840;117954;119297;-;LMB90_RS03840;Op1873;Amino Acid Transport & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03875;3723;5108;-;LMB90_RS03875;Op122;Amino Acid Transport & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS03890;5925;7763;-;LMB90_RS03890;Op184;Amino Acid Transport & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS03895;7848;9458;-;LMB90_RS03895;Op232;Amino Acid Transport & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS03930;16192;17370;-;LMB90_RS03930;Op459;Amino Acid Transport & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS03945;19561;20805;#ERROR!;LMB90_RS03945;Op535;Amino Acid Transport & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS03950;20823;21596;#ERROR!;proC;Op559;Amino Acid Transport & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS04120;8034;9194;#ERROR!;LMB90_RS04120;Op236;Amino Acid Transport & Conversion;NZ_JAJGVJ010000053.1
LMB90_RS04270;17137;18306;#ERROR!;LMB90_RS04270;Op479;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04275;18565;19449;#ERROR!;LMB90_RS04275;Op516;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04310;28386;29717;#ERROR!;LMB90_RS04310;Op717;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04365;41069;42451;#ERROR!;LMB90_RS04365;Op969;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04540;74939;76336;-;LMB90_RS04540;Op1497;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04610;98051;99058;#ERROR!;argF;Op1737;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04615;99075;100007;#ERROR!;arcC;Op1746;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04620;100192;101094;-;LMB90_RS04620;Op1757;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04690;114020;115252;#ERROR!;arcA;Op1848;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04700;115845;117266;#ERROR!;LMB90_RS04700;Op1859;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04745;125063;126298;#ERROR!;LMB90_RS04745;Op1898;Amino Acid Transport & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04865;5842;7242;#ERROR!;LMB90_RS04865;Op181;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS04960;29407;30549;#ERROR!;LMB90_RS04960;Op739;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS04965;30576;31277;#ERROR!;LMB90_RS04965;Op761;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS04970;31283;32032;#ERROR!;LMB90_RS04970;Op778;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS04975;32048;32839;#ERROR!;LMB90_RS04975;Op798;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS04980;32895;33710;-;LMB90_RS04980;Op816;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS04985;33968;35308;-;LMB90_RS04985;Op837;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS05055;45112;46305;#ERROR!;LMB90_RS05055;Op1042;Amino Acid Transport & Conversion;NZ_JAJGVJ010000056.1
LMB90_RS05120;1362;2543;-;LMB90_RS05120;Op53;Amino Acid Transport & Conversion;NZ_JAJGVJ010000057.1
LMB90_RS05130;4575;5918;-;glnA;Op147;Amino Acid Transport & Conversion;NZ_JAJGVJ010000057.1
LMB90_RS05315;10868;12568;#ERROR!;LMB90_RS05315;Op324;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05330;14779;16020;#ERROR!;LMB90_RS05330;Op422;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05375;22620;23966;#ERROR!;LMB90_RS05375;Op602;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05385;24577;26016;#ERROR!;LMB90_RS05385;Op646;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05420;33827;35230;#ERROR!;pepV;Op835;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05615;70695;71615;-;glsA;Op1433;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05755;93833;95326;#ERROR!;yjeM;Op1700;Amino Acid Transport & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05865;12722;13822;#ERROR!;LMB90_RS05865;Op369;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06025;46872;47723;-;LMB90_RS06025;Op1075;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06030;47741;48391;-;LMB90_RS06030;Op1089;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06100;66088;67236;-;LMB90_RS06100;Op1363;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06115;70447;72000;-;gadC;Op1428;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06120;72178;73098;#ERROR!;glsA;Op1457;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06125;73508;75046;#ERROR!;gadC;Op1480;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06130;75064;76470;#ERROR!;LMB90_RS06130;Op1500;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06145;79418;81154;-;oxc;Op1556;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06160;83034;83441;#ERROR!;LMB90_RS06160;Op1597;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06235;98004;98297;-;LMB90_RS06235;Op1736;Amino Acid Transport & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06275;2051;3037;-;dapF;Op78;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06280;3050;4408;-;LMB90_RS06280;Op105;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06285;4887;6197;#ERROR!;lysA;Op153;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06290;6234;6944;#ERROR!;dapD;Op188;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06295;6949;8100;#ERROR!;LMB90_RS06295;Op206;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06300;8128;9051;#ERROR!;dapA;Op242;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06305;9055;9834;#ERROR!;dapB;Op271;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06310;9847;11031;#ERROR!;LMB90_RS06310;Op290;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06315;11051;12109;#ERROR!;LMB90_RS06315;Op327;Amino Acid Transport & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS07030;21914;22645;#ERROR!;LMB90_RS07030;Op583;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07050;28045;29295;-;LMB90_RS07050;Op706;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07125;43251;44237;#ERROR!;LMB90_RS07125;Op1013;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07255;70204;72867;-;LMB90_RS07255;Op1426;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07270;76807;77898;#ERROR!;LMB90_RS07270;Op1521;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07275;77898;78704;#ERROR!;LMB90_RS07275;Op1533;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07305;85077;85487;#ERROR!;LMB90_RS07305;Op1618;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07310;85494;86066;#ERROR!;LMB90_RS07310;Op1621;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07400;105529;105978;#ERROR!;LMB90_RS07400;Op1792;Amino Acid Transport & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07580;60104;61309;#ERROR!;LMB90_RS07580;Op1274;Amino Acid Transport & Conversion;NZ_JAJGVJ010000063.1
